End Date,Counterparty Mnemonic,Currency,Principal Amount (Signed),Contract Rate,Entity,Deal Date,Start Date,Subtype,Deal No
07-08-2022,OMNIBSIC BK GHA,,,1.016400000000,UBANY,07-07-2022,07-08-2022,INTBK,104663
07-08-2022,SCB-LONDON,,,1.016843800000,UBANY,07-07-2022,07-08-2022,INTBK,104664
07-08-2022,SCB-LONDON,,,1.017160000000,UBANY,07-06-2022,07-08-2022,INTBK,104659
07-08-2022,SCB-LONDON,,,1.190990000000,UBANY,07-06-2022,07-08-2022,INTBK,104656
07-08-2022,TAJBANK LIMITED,,,1.027200000000,UBANY,07-06-2022,07-08-2022,INTBK,104658
07-08-2022,GREENWICH MERCH,,,1.199500000000,UBANY,07-06-2022,07-08-2022,INTBK,104655
07-11-2022,CBN,USD,"-26,907,873.29",1.1,UBAGCI,04-28-2022,05-09-2022,IFGVI,104524
07-13-2022,CBN,USD,"-26,721,794.49",1.3,UBAGCI,06-09-2022,06-13-2022,IFGVI,104602
07-13-2022,MOZA,USD,"-5,000,000.00",0.12,UBAGCI,07-06-2022,07-06-2022,IBIOC,104657
07-14-2022,UBA-LAG,USD,"5,000,000.00",3.5,UBAGCI,01-19-2022,01-20-2022,IHOFC,104216
07-20-2022,UBA-LAG,USD,"7,500,000.00",3.5,UBAGCI,01-19-2022,01-21-2022,IHOFC,104215
07-21-2022,CBN,USD,"-21,402,772.09",1.7,UBAGCI,06-17-2022,06-21-2022,IFGVI,104622
07-29-2022,CBN,USD,"-24,935,560.13",1.34,UBAGCI,04-27-2022,04-29-2022,IFGVI,104520
08-01-2022,UBA-LAG,USD,"15,000,000.00",3.5,UBAGCI,02-01-2022,02-01-2022,IHOFC,104249
08-02-2022,UBA-LAG,USD,"15,000,000.00",3.5,UBAGCI,01-19-2022,01-24-2022,IHOFC,104214
08-02-2022,UBA ZAMBIA,USD,"-1,500,000.00",1.5,UBAGCI,06-02-2022,06-03-2022,IBIOC,104588
08-11-2022,CBN,USD,"-26,907,873.29",1.79,UBAGCI,07-06-2022,07-11-2022,IFGVI,104653
08-15-2022,CBN,USD,"-26,721,794.49",1.79,UBAGCI,07-06-2022,07-13-2022,IFGVI,104662
08-22-2022,UBA-LAG,USD,"23,000,000.00",3.75,UBAGCI,02-22-2022,02-22-2022,IHOFC,104313
09-02-2022,UBA-LAG,USD,"50,000,000.00",3.75,UBAGCI,03-02-2022,03-02-2022,IHOFC,104326
09-06-2022,UBA-LAG,USD,"10,000,000.00",3.6,UBAGCI,03-03-2022,03-03-2022,IHOFC,104333
09-13-2022,FIDELITY,USD,"20,000,000.00",4.74471,UBANY,06-14-2022,06-15-2022,IBIOC,104619
09-16-2022,SCB-LONDON,,,1.104000000000,UBANY,03-21-2022,03-21-2022,SWAP,104505
09-16-2022,SCB-LONDON,,,1.099770400000,UBANY,03-28-2022,03-29-2022,SWAP,104506
09-19-2022,CHINA MB NY,USD,"30,000,000.00",0.9,UBANY,03-18-2022,03-21-2022,IFBUB,104395
09-19-2022,UBA-LAG,USD,"8,000,000.00",3.75,UBAGCI,03-21-2022,03-22-2022,IHOFC,104400
09-26-2022,UBA-LAG,USD,"7,500,000.00",3.75,UBAGCI,03-21-2022,03-28-2022,IHOFC,104399
09-27-2022,UBA-LAG,USD,"100,000,000.00",4.5,UBAGCI,06-27-2022,06-27-2022,IHOFC,104636
11-07-2022,UBA-LAG,USD,"100,000,000.00",3.5,UBAGCI,05-06-2022,05-06-2022,IHOFC,104537
11-21-2022,UBA-LAG,USD,"13,000,000.00",3.75,UBAGCI,05-19-2022,05-23-2022,IHOFC,104552
11-23-2022,UBA-LAG,USD,"16,700,000.00",3.75,UBAGCI,05-19-2022,05-27-2022,IHOFC,104553
11-28-2022,UBA-LAG,USD,"7,000,000.00",3.75,UBAGCI,05-27-2022,05-31-2022,IHOFC,104571
11-30-2022,UBA-LAG,USD,"70,000,000.00",3.75,UBAGCI,05-31-2022,05-31-2022,IHOFC,104574
