Matches,MatchesSplit,counts
BANK,BANK SADERAT IRAN,3683
BANK,BANK SADERAT PLC,2272
BANK,BANK MELLI IRAN,1466
VICTORIA,Cuba,1206
VICTORIA,LADY RANIA,1203
COMMERCIAL,JOINT STOCK COMMERCIAL BANK RUBLEV,1192
BANK,MELLI BANK PLC,1182
BANK,"IS BANK, AO",1169
BANK,HAVIN BANK LIMITED,854
SECOND,SEGUNDA MARQUETALIA,709
AHMED,Zaini ZAKARIA,673
AHMED,Mohamed Mohamed Abdullah AL-AHDAL,670
PARTY,HIZBALLAH,615
BANK,Intercontinental Bank Plc,579
DE,JUAREZ CARTEL,573
BANK,PUBLIC JOINT STOCK COMPANY BANK FINANCIAL CORPORATION OTKRITIE,544
COMMERCIAL,PUBLIC JOINT-STOCK COMPANY COMMERCIAL BANK 'SPUTNIK',535
COMMERCIAL,Nile Commercial Bank,529
BANK,BANK SEPAH INTERNATIONAL PLC,514
MIDDLE EAST BANK,KHAVARMIANEH BANK,452
