Matches,MatchesSplit,counts
CHINA,CHINA STATE SHIPBUILDING CORPORATION LIMITED,41
CHINA,CHINA HAOKUN ENERGY LIMITED,3
CHINA,CHINA COMMUNICATIONS CONSTRUCTION COMPANY LIMITED,26
CHINA,"CHINA 49 GROUP CO., LIMITED",5
CHINA,CEIEC,4
CHINA,CHINA GENERAL NUCLEAR POWER CORPORATION,28
THE,BM BANK PUBLIC JOINT STOCK COMPANY,11
CHINA,HONGYUAN MARINE CO LTD,1
BANK,CHEIL CREDIT BANK,423
CHINA,ESAIL SHIPPING LIMITED,53
BANK,BANK TORGOVOY KAPITAL ZAO,428
BANK,AYANDEH BANK,73
BANK,BANCO CORPORATIVO SA,390
CHINA,"DANDONG JINXIANG TRADE CO., LTD.",51
CHINA,CHINA CONCORD PETROLEUM CO LIMITED,1
CHINA,ANHUI LAND GROUP CO LIMITED,1
BANK,HAVIN BANK LIMITED,854
BANK,"IS BANK, AO",1169
BANK,Intercontinental Bank Plc,579
BANK,BANK SADERAT PLC,2272
BANK,BANK SADERAT IRAN,3683
BANK,BANK DABRABYT JOINT STOCK COMPANY,3
BANK,MELLI BANK PLC,1182
BANK,BM BANK JSC,12
BANK,BANK SEPAH INTERNATIONAL PLC,514
AFRICA,AFRICA REMITTANCE COMPANY LLC,416
AFRICA,AICO Africa Limited,416
BANK,BANK MELLI IRAN,1466
BANK,STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK,156
NIGERIA,GRASPAND NIGERIA LIMITED,181
NIGERIA,Nua Nigeria Ltd.,181
NIGERIA,STALLIONAIRE NIGERIA LIMITED,181
NIGERIA,Celetrans Nigeria Limited,187
NIGERIA,Africhem Nigeria Ltd,181
FIRST,WorldFirst,78
NIGERIA,Fenog Nigeria Ltd,181
NIGERIA,Banrut Nigeria Ltd.,181
NIGERIA,Kupex Nigeria Limited,180
NIGERIA,RUN NIGERIA LTD,181
FIRST,DAWNLIGHT,159
BANK,BANK-E SHAHR,44
MONUMENT,EXPORT DEVELOPMENT BANK OF IRAN,286
NIGERIA,Nigeria National Petroleum Corp,145
UNITED,VTB BANK GEORGIA JOINT STOCK COMPANY,248
SHIPPING,Lynx Shipping Ltd,84
SHIPPING,Equinox Shipping Ltd,84
SHIPPING,SC SOUTH LLC,95
SHIPPING,SYRIAN SHIPPING AGENCIES COMPANY,106
SHIPPING,ISLAMIC REPUBLIC OF IRAN SHIPPING LINES,173
SHIPPING,IMPIRE SHIPPING COMPANY,54
