End Date,Buy Ccy,Sell Ccy,Counterparty Mnemonic,Currency,Buy Amount,Sell Amount,Principal Amount (Signed),Contract Rate,TOTAL_INTEREST_VALUE,PL Now Accrued PL (int),Entity,Deal Date,Start Date,Subtype,Deal No,PENDING_DAYS_TO_MATURITY,TOTAL_MATURITY_AMOUNT,Type ,Deal Status,Trading Book,Deal Type,Department,Spread Rate,Internal Rate,Dealer,LCY_AMOUNT_1,ORIGINAL_TENOR,Outstanding Notional,Omgeo Ref,Settlement Method,PayRec,Cpty Pay Agent Inst,Pay Nostro,Rec Nostro,Security Code,Buy/Sell,Quantity Traded,ISIN 1,Block Ref,Sec. Inv. Price,Sec. Accrued,Repo Amount,Block Amt,CCY1,CCY2
7/20/2022,,,UBA-LAG,USD,,,"7,500,000.00",3.5,"131,250.00","131,250.00",UBAGCI,1/19/2022,1/21/2022,IHOFC,104215,0,"7,631,250.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.5,MOHNIR349,"7,500,000.00",,0,,,,,,,,,,,,,,,,,
7/20/2022,,,MOZA,USD,,,"-5,000,000.00",0.12,-116.67,-116.67,UBAGCI,7/13/2022,7/13/2022,IBIOC,104669,0,"-5,000,116.67",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,0.12,MOHNIR349,"-5,000,000.00",,0,,,,,,,,,,,,,,,,,
7/21/2022,,,CBN,USD,,,"-21,402,772.09",1.7,"-30,320.59","-29,309.91",UBAGCI,6/17/2022,6/21/2022,IFGVI,104622,1,"-21,433,092.68",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,1.7,MOHNIR349,"-21,402,772.09",,-21402772.09,,,,,,,,,,,,,,,,,
7/29/2022,,,CBN,USD,,,"-24,935,560.13",1.34,"-84,462.28","-76,108.87",UBAGCI,4/27/2022,4/29/2022,IFGVI,104520,9,"-25,020,022.41",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,1.34,MOHNIR349,"-24,935,560.13",,-24935560.13,,,,,,,,,,,,,,,,,
8/1/2022,,,UBA-LAG,USD,,,"15,000,000.00",3.5,"263,958.33","246,458.33",UBAGCI,2/1/2022,2/1/2022,IHOFC,104249,12,"15,263,958.33",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.5,MOHNIR349,"15,000,000.00",,15000000,,,,,,,,,,,,,,,,,
8/2/2022,,,UBA-LAG,USD,,,"15,000,000.00",3.5,"277,083.33","258,125.00",UBAGCI,1/19/2022,1/24/2022,IHOFC,104214,13,"15,277,083.33",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.5,MOHNIR349,"15,000,000.00",,15000000,,,,,,,,,,,,,,,,,
8/2/2022,,,UBA ZAMBIA,USD,,,"-1,500,000.00",1.5,"-3,750.00","-2,937.50",UBAGCI,6/2/2022,6/3/2022,IBIOC,104588,13,"-1,503,750.00",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,1.5,MOHNIR349,"-1,500,000.00",,-1500000,,,,,,,,,,,,,,,,,
8/11/2022,,,CBN,USD,,,"-26,907,873.29",1.79,"-41,475.50","-12,041.27",UBAGCI,7/6/2022,7/11/2022,IFGVI,104653,22,"-26,949,348.79",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,1.79,MOHNIR349,"-26,907,873.29",,-26907873.29,,,,,,,,,,,,,,,,,
8/15/2022,,,CBN,USD,,,"-26,721,794.49",1.79,"-43,846.01","-9,300.67",UBAGCI,7/6/2022,7/13/2022,IFGVI,104662,26,"-26,765,640.50",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,1.79,MOHNIR349,"-26,721,794.49",,-26721794.49,,,,,,,,,,,,,,,,,
8/22/2022,,,CBN,USD,,,"-21,402,772.09",2.25,"-42,805.54",0,UBAGCI,7/19/2022,7/21/2022,IFGVI,104684,33,"-21,445,577.63",FIX/DEPO,CONTINGENT,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,2.25,MOHNIR349,"-21,402,772.09",,-21402772.09,,,,,,,,,,,,,,,,,
