ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
104668,SCB-LONDON,INTBK,,,1.0069994,07-13-2022,07-13-2022,,
104667,ACCESS  GUINEE,INTBK,,,1.0069994,07-13-2022,07-13-2022,,
104657,MOZA,IBIOC,,,0.12,07-06-2022,07-13-2022,USD,"-5,000,000.00"
104602,CBN,IFGVI,,,1.3,06-13-2022,07-13-2022,USD,"-26,721,794.49"
104216,UBA-LAG,IHOFC,,,3.5,01-20-2022,07-14-2022,USD,"5,000,000.00"
104669,MOZA,IBIOC,,,0.12,07-13-2022,07-20-2022,USD,"-5,000,000.00"
104215,UBA-LAG,IHOFC,,,3.5,01-21-2022,07-20-2022,USD,"7,500,000.00"
104622,CBN,IFGVI,,,1.7,06-21-2022,07-21-2022,USD,"-21,402,772.09"
104520,CBN,IFGVI,,,1.34,04-29-2022,07-29-2022,USD,"-24,935,560.13"
104249,UBA-LAG,IHOFC,,,3.5,02-01-2022,08-01-2022,USD,"15,000,000.00"
104214,UBA-LAG,IHOFC,,,3.5,01-24-2022,08-02-2022,USD,"15,000,000.00"
104588,UBA ZAMBIA,IBIOC,,,1.5,06-03-2022,08-02-2022,USD,"-1,500,000.00"
104653,CBN,IFGVI,,,1.79,07-11-2022,08-11-2022,USD,"-26,907,873.29"
104662,CBN,IFGVI,,,1.79,07-13-2022,08-15-2022,USD,"-26,721,794.49"
104313,UBA-LAG,IHOFC,,,3.75,02-22-2022,08-22-2022,USD,"23,000,000.00"
104326,UBA-LAG,IHOFC,,,3.75,03-02-2022,09-02-2022,USD,"50,000,000.00"
104333,UBA-LAG,IHOFC,,,3.6,03-03-2022,09-06-2022,USD,"10,000,000.00"
104619,FIDELITY,IBIOC,,,4.74471,06-15-2022,09-13-2022,USD,"20,000,000.00"
104505,SCB-LONDON,SWAP,,,1.078299368,03-21-2022,09-16-2022,,
104506,SCB-LONDON,SWAP,,,1.078299368,03-29-2022,09-16-2022,,
104395,CHINA MB NY,IFBUB,,,0.9,03-21-2022,09-19-2022,USD,"30,000,000.00"
104400,UBA-LAG,IHOFC,,,3.75,03-22-2022,09-19-2022,USD,"8,000,000.00"
104399,UBA-LAG,IHOFC,,,3.75,03-28-2022,09-26-2022,USD,"7,500,000.00"
104636,UBA-LAG,IHOFC,,,4.5,06-27-2022,09-27-2022,USD,"100,000,000.00"
104537,UBA-LAG,IHOFC,,,3.5,05-06-2022,11-07-2022,USD,"100,000,000.00"
104670,UBA-LAG,IHOFC,,,4.75,07-13-2022,11-15-2022,USD,"25,000,000.00"
104552,UBA-LAG,IHOFC,,,3.75,05-23-2022,11-21-2022,USD,"13,000,000.00"
104553,UBA-LAG,IHOFC,,,3.75,05-27-2022,11-23-2022,USD,"16,700,000.00"
104571,UBA-LAG,IHOFC,,,3.75,05-31-2022,11-28-2022,USD,"7,000,000.00"
104574,UBA-LAG,IHOFC,,,3.75,05-31-2022,11-30-2022,USD,"70,000,000.00"
104575,UBA-LAG,IHOFC,,,3.75,05-31-2022,11-30-2022,USD,"30,000,000.00"
104581,UBA-LAG,IHOFC,,,3.75,06-06-2022,12-05-2022,USD,"12,000,000.00"
104582,UBA-LAG,IHOFC,,,3.75,06-06-2022,12-05-2022,USD,"8,000,000.00"
104548,UNITY,IBIOC,,,0.35,04-04-2022,12-30-2022,USD,"-488,530.00"
104666,UBA-LAG,IHOFC,,,4.75,07-14-2022,01-10-2023,USD,"5,000,000.00"
103852,UBA U.K.,EBOND,,,0.0,06-29-2021,10-27-2025,USD,"500,000.00"
103851,UBA U.K.,EBOND,,,0.0,06-29-2021,10-27-2025,USD,"585,000.00"
103853,UBA U.K.,EBOND,,,0.0,06-29-2021,10-27-2025,USD,"235,000.00"
103857,UBA U.K.,EBOND,,,0.0,03-19-2021,02-16-2026,USD,"1,000,000.00"
103899,UBA U.K.,EBOND,,,0.0,08-17-2021,02-16-2026,USD,"481,000.00"
103874,UBA U.K.,EBOND,,,0.0,07-27-2021,02-16-2026,USD,"250,000.00"
103856,UBA U.K.,EBOND,,,0.0,03-22-2021,02-16-2026,USD,"4,000,000.00"
103881,UBA U.K.,EBOND,,,0.0,07-30-2021,02-16-2026,USD,"269,000.00"
103855,UBA U.K.,EBOND,,,0.0,06-30-2021,02-16-2026,USD,"1,000,000.00"
103858,SCB-LONDON,EBOND,,,0.0,02-16-2021,02-16-2026,USD,"3,000,000.00"
103957,SCB-LONDON,EBOND,,,0.0,09-30-2021,09-21-2026,USD,"500,000.00"
103956,SCB-LONDON,EBOND,,,0.0,09-30-2021,09-21-2026,USD,"2,000,000.00"
104355,SCB-LONDON,EBOND,,,0.0,02-22-2022,09-21-2026,USD,"5,000,000.00"
104356,SCB-LONDON,EBOND,,,0.0,02-11-2022,09-21-2026,USD,"4,500,000.00"
104021,SCB-LONDON,EBOND,,,0.0,10-26-2021,09-21-2026,USD,"2,500,000.00"
104020,SCB-LONDON,EBOND,,,0.0,10-25-2021,09-21-2026,USD,"1,000,000.00"
103944,SCB-LONDON,EBOND,,,0.0,09-21-2021,09-21-2026,USD,"5,000,000.00"
104019,SCB-LONDON,EBOND,,,0.0,10-25-2021,09-21-2026,USD,"2,000,000.00"
103961,SCB-LONDON,EBOND,,,0.0,10-04-2021,09-21-2026,USD,"2,500,000.00"
104075,SCB-LONDON,EBOND,,,0.0,11-19-2021,11-19-2026,USD,"50,000,000.00"
104349,SCB-LONDON,EBOND,,,0.0,02-22-2022,02-11-2027,USD,"4,000,000.00"
104351,SCB-LONDON,EBOND,,,0.0,02-18-2022,02-11-2027,USD,"1,000,000.00"
104354,SCB-LONDON,EBOND,,,0.0,02-03-2022,02-11-2027,USD,"3,000,000.00"
104344,UBA U.K.,EBOND,,,0.0,02-07-2022,02-11-2027,USD,"2,000,000.00"
104345,SCB-LONDON,EBOND,,,0.0,02-07-2022,02-11-2027,USD,"3,000,000.00"
104346,SCB-LONDON,EBOND,,,0.0,02-08-2022,02-11-2027,USD,"3,000,000.00"
104350,SCB-LONDON,EBOND,,,0.0,02-22-2022,02-11-2027,USD,"4,000,000.00"
104347,SCB-LONDON,EBOND,,,0.0,02-09-2022,02-11-2027,USD,"2,000,000.00"
